max_depth,criterian,splitter,max_features,class_weight_o,class_weight_1,ccp_alpha,accuracy,precision,recall,f1_score,roc_auc
3,entropy,best,log2,4,8,0.001,0.809,0.754,0.85,0.799,0.889
3,entropy,best,log2,4,8,0.01,0.769,0.672,0.945,0.785,0.88
3,entropy,best,log2,5,10,0.0,0.761,0.691,0.843,0.76,0.846
3,entropy,best,log2,5,10,0.001,0.791,0.719,0.875,0.789,0.877
3,entropy,best,log2,5,10,0.01,0.758,0.674,0.888,0.767,0.865
3,entropy,best,,1,2,0.0,0.831,0.8,0.831,0.815,0.906
3,entropy,best,,1,2,0.001,0.831,0.8,0.831,0.815,0.906
3,entropy,best,,1,2,0.01,0.831,0.8,0.831,0.815,0.898
3,entropy,best,,2,4,0.0,0.831,0.8,0.831,0.815,0.906
3,entropy,best,,2,4,0.001,0.831,0.8,0.831,0.815,0.906
3,entropy,best,,2,4,0.01,0.831,0.8,0.831,0.815,0.898
3,entropy,best,,3,6,0.0,0.831,0.8,0.831,0.815,0.906
3,entropy,best,,3,6,0.001,0.831,0.8,0.831,0.815,0.906
3,entropy,best,,3,6,0.01,0.831,0.8,0.831,0.815,0.898
3,entropy,best,,4,8,0.0,0.831,0.8,0.831,0.815,0.906
3,entropy,best,,4,8,0.001,0.831,0.8,0.831,0.815,0.906
3,entropy,best,,4,8,0.01,0.831,0.8,0.831,0.815,0.898
3,entropy,best,,5,10,0.0,0.831,0.8,0.831,0.815,0.906
3,entropy,best,,5,10,0.001,0.831,0.8,0.831,0.815,0.906
3,entropy,best,,5,10,0.01,0.831,0.8,0.831,0.815,0.898
3,entropy,best,0.8,1,2,0.0,0.831,0.8,0.831,0.815,0.905
3,entropy,best,0.8,1,2,0.001,0.831,0.8,0.831,0.815,0.907
3,entropy,best,0.8,1,2,0.01,0.831,0.8,0.831,0.815,0.898
3,entropy,best,0.8,2,4,0.0,0.829,0.776,0.869,0.82,0.901
3,entropy,best,0.8,2,4,0.001,0.831,0.8,0.831,0.815,0.906
3,entropy,best,0.8,2,4,0.01,0.831,0.8,0.831,0.815,0.904
3,entropy,best,0.8,3,6,0.0,0.826,0.8,0.814,0.807,0.901
3,entropy,best,0.8,3,6,0.001,0.769,0.672,0.945,0.785,0.888
3,entropy,best,0.8,3,6,0.01,0.831,0.8,0.831,0.815,0.902
3,entropy,best,0.8,4,8,0.0,0.826,0.8,0.814,0.807,0.899
3,entropy,best,0.8,4,8,0.001,0.826,0.8,0.814,0.807,0.899
3,entropy,best,0.8,4,8,0.01,0.831,0.8,0.831,0.815,0.898
3,entropy,best,0.8,5,10,0.0,0.831,0.8,0.831,0.815,0.906
3,entropy,best,0.8,5,10,0.001,0.829,0.776,0.869,0.82,0.901
3,entropy,best,0.8,5,10,0.01,0.831,0.8,0.831,0.815,0.898
3,entropy,best,0.7,1,2,0.0,0.831,0.791,0.846,0.817,0.906
3,entropy,best,0.7,1,2,0.001,0.842,0.869,0.763,0.813,0.891
3,entropy,best,0.7,1,2,0.01,0.831,0.8,0.831,0.815,0.898
